Location_ID,Country,Sim_location,Weather_file,Ashrae Climate Zone,NBC Climate,Same_City_Weather_file,,
L303,United States of America,Orlando,FL_Orlando_Executive_AP,Very Hot Humid,,,,
L304,United States of America,Orlando,FL_Orlando_Intl_Arpt,Very Hot Humid,,,,
L305,United States of America,Sanford,FL_Orlando_Sanford_AP,Very Hot Humid,,,,
L306,United States of America,Panama City,FL_Panama_City_Bay_Co,Very Hot Humid,,,,
L307,United States of America,Pensacola,FL_Pensacola_Forest_Sherm,Very Hot Humid,,,,
L308,United States of America,Pensacola,FL_Pensacola_Regional_AP,Very Hot Humid,,,,
L309,United States of America,Sarasota,FL_Sarasota_Bradenton,Very Hot Humid,,,,
L310,United States of America,Fort Myers,FL_Southwest_Florida_I,Very Hot Humid,,,,
L311,United States of America,Fort Pierce,FL_St_Lucie_Co_Intl,Very Hot Humid,,,,
L313,United States of America,St. Petersburg,FL_St_Petersburg_Clear,Very Hot Humid,,FL_St_Petersburg_Albert_W,,
L314,United States of America,Tallahassee,FL_Tallahassee_Regional_A,Very Hot Humid,,,,
L315,United States of America,Tampa,FL_Tampa_International_Ap,Very Hot Humid,,,,
L316,United States of America,Panama City,FL_Tyndall_AFB,Very Hot Humid,,,,
L317,United States of America,Valparaiso,FL_Valparaiso_Elgin_AFB,Very Hot Humid,,,,
L318,United States of America,Valparaiso,FL_Valparaiso_Hurlburt,Very Hot Humid,,,,
L319,United States of America,Vero Beach,FL_Vero_Beach_Municipal,Very Hot Humid,,,,
L320,United States of America,West Palm Beach,FL_West_Palm_Beach_Intl_A,Very Hot Humid,,,,
L321,United States of America,Milton,FL_Whiting_Field_Naas,Very Hot Humid,,,,
L322,United States of America,Albany,GA_Albany_Dougherty_Count,Very Hot Humid,,,,
L323,United States of America,Alma,GA_Alma_Bacon_County_AP,Very Hot Humid,,,,
L324,United States of America,Athens,GA_Athens_Ben_Epps_AP,Very Hot Humid,,,,
L325,United States of America,Atlanta,GA_Atlanta_Hartsfield_Int,Very Hot Humid,,,,
L326,United States of America,Augusta,GA_Augusta_Bush_Field,Very Hot Humid,,,,
