Polygon,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,Total Vertices
3T_2Space Polygon 28,"(0.0, 0.0)","(120.5, 0.0)","(120.5, 43.05)","(112.8, 43.05)","(66.55, 43.05)","(66.55, 75.55)","(112.8, 75.55)","(121.25, 75.55)","(120.5, 97.0)","(68.35, 97.0)","(68.35, 118.6)","(0.0, 118.6)","(0.0, 81.1)","(9.95, 81.1)","(15.85, 81.1)","(15.85, 74.55)","(36.2, 74.55)","(36.2, 44.05)","(15.85, 44.05)","(15.85, 37.95)","(9.3, 37.95)","(0.0, 37.95)",,,,,,,,,,,,,22
6R_2Floor Polygon,"(260.35, 8.55)","(260.35, 45.75)","(266.9, 45.75)","(266.9, 61.5)","(282.95, 61.5)","(283.0, 102.35)","(291.8, 102.35)","(291.85, 157.15)","(212.75, 157.15)","(99.55, 157.15)","(20.5, 157.15)","(20.5, 102.35)","(29.35, 102.35)","(29.35, 61.5)","(44.8, 61.5)","(45.45, 61.5)","(45.45, 45.75)","(52.0, 45.75)","(52.0, 8.55)",,,,,,,,,,,,,,,,19
6R_2Space Polygon 1,"(0.0, 0.0)","(37.2, -0.0)","(52.2, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 2,"(0.0, 0.0)","(6.55, 0.0)","(6.55, 15.75)","(0.65, 15.75)","(0.65, 21.85)","(-8.35, 21.85)","(-8.45, 15.0)","(-15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
6R_2Space Polygon 3,"(0.0, 0.0)","(54.8, 0.0)","(39.79, 14.99)","(2.29, 14.95)","(2.29, 8.8)","(-0.01, 8.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
6R_2Space Polygon 4,"(0.0, 0.0)","(79.1, 0.0)","(79.1, 15.0)","(15.01, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 5,"(0.0, 0.0)","(113.2, 0.0)","(113.2, 15.0)","(0.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 6,"(0.0, 0.0)","(79.05, 0.0)","(64.05, 15.0)","(0.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 7,"(0.0, 0.0)","(54.8, 0.0)","(54.8, 8.85)","(52.5, 8.85)","(52.5, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
6R_2Space Polygon 8,"(0.0, 0.0)","(15.75, 0.0)","(15.75, 6.55)","(0.75, 21.55)","(0.75, 15.0)","(-6.2, 15.0)","(-6.1, 5.9)","(0.0, 5.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
6R_2Space Polygon 9,"(0.0, 0.0)","(37.2, 0.0)","(22.2, 15.0)","(-15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 10,"(0.0, 0.0)","(208.35, 0.0)","(193.35, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 11,"(0.0, 0.0)","(14.1, 0.0)","(14.1, 20.0)","(23.6, 20.0)","(23.6, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
6R_2Space Polygon 12,"(0.0, 0.0)","(9.5, 0.0)","(9.5, 20.0)","(0.0, 20.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 13,"(0.0, 0.0)","(12.8, 0.0)","(12.8, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 14,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 15,"(0.0, 0.0)","(15.75, 0.0)","(15.75, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 16,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 32.4)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 17,"(0.0, 0.0)","(12.8, 0.1)","(12.8, 32.5)","(0.0, 32.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 18,"(0.0, 0.0)","(9.5, -0.1)","(9.5, 19.9)","(0.0, 19.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 19,"(0.0, 0.0)","(9.5, 0.0)","(9.5, -20.0)","(23.6, -20.0)","(23.6, 12.5)","(0.0, 12.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
6R_2Space Polygon 20,"(0.0, 0.0)","(0.65, 0.0)","(6.55, 0.0)","(6.55, 43.15)","(0.65, 43.15)","(0.65, 31.85)","(-4.95, 31.85)","(-4.95, 23.3)","(0.0, 23.3)",,,,,,,,,,,,,,,,,,,,,,,,,,9
6R_2Space Polygon 21,"(0.0, 0.0)","(9.0, 0.0)","(9.0, 16.1)","(-2.3, 16.1)","(-2.3, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
6R_2Space Polygon 22,"(0.0, 0.0)","(8.55, 0.0)","(8.55, 10.5)","(0.0, 10.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 23,"(0.0, 0.0)","(20.35, 0.0)","(20.35, 30.5)","(0.0, 30.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 24,"(0.0, 0.0)","(15.45, 0.0)","(15.45, 23.3)","(0.0, 23.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 25,"(0.0, 0.0)","(2.3, 0.0)","(2.3, 16.1)","(-9.0, 16.1)","(-9.0, 0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
6R_2Space Polygon 26,"(0.0, 0.0)","(9.75, 0.0)","(9.75, 8.55)","(0.0, 8.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
